"cfi","text"
"epubcfi(/6/10!/4/2[pgepubid00005]/6)","Enter Sampson andGregory armed with swords and bucklers."
"epubcfi(/6/10!/4/2[pgepubid00005]/8)","SAMPSON.Gregory, on my word, we’ll not carry coals."
"epubcfi(/6/10!/4/2[pgepubid00005]/10)","GREGORY.No, for then we should be colliers."
"epubcfi(/6/10!/4/2[pgepubid00005]/12)","SAMPSON.I mean, if we be in choler, we’ll draw."
"epubcfi(/6/10!/4/2[pgepubid00005]/14)","GREGORY.Ay, while you live, draw your neck out o’ the collar."
"epubcfi(/6/10!/4/2[pgepubid00005]/16)","SAMPSON.I strike quickly, being moved."
"epubcfi(/6/10!/4/2[pgepubid00005]/18)","GREGORY.But thou art not quickly moved to strike."
"epubcfi(/6/10!/4/2[pgepubid00005]/20)","SAMPSON.A dog of the house of Montague moves me."
"epubcfi(/6/10!/4/2[pgepubid00005]/22)","GREGORY.To move is to stir; and to be valiant is to stand:therefore, if thou art moved, thou runn’st away."
"epubcfi(/6/10!/4/2[pgepubid00005]/24)","SAMPSON.A dog of that house shall move me to stand.I will take the wall of any man or maid of Montague’s."
"epubcfi(/6/10!/4/2[pgepubid00005]/26)","GREGORY.That shows thee a weak slave, for the weakest goes to the wall."
"epubcfi(/6/10!/4/2[pgepubid00005]/28)","SAMPSON.True, and therefore women, being the weaker vessels,are ever thrust to the wall: therefore I will push Montague’s menfrom the wall, and thrust his maids to the wall."
"epubcfi(/6/10!/4/2[pgepubid00005]/30)","GREGORY.The quarrel is between our masters and us their men."
"epubcfi(/6/10!/4/2[pgepubid00005]/32)","SAMPSON.’Tis all one, I will show myself a tyrant: when I have foughtwith the men I will be civil with the maids, I will cut off their heads."
"epubcfi(/6/10!/4/2[pgepubid00005]/34)","GREGORY.The heads of the maids?"
"epubcfi(/6/10!/4/2[pgepubid00005]/36)","SAMPSON.Ay, the heads of the maids, or their maidenheads; take it in what sensethou wilt."
"epubcfi(/6/10!/4/2[pgepubid00005]/38)","GREGORY.They must take it in sense that feel it."
"epubcfi(/6/10!/4/2[pgepubid00005]/40)","SAMPSON.Me they shall feel while I am able to stand:and ’tis known I am a pretty piece of flesh."
"epubcfi(/6/10!/4/2[pgepubid00005]/42)","GREGORY.’Tis well thou art not fish; if thou hadst, thou hadst been poorJohn. Draw thy tool; here comes of the house of Montagues."
"epubcfi(/6/10!/4/2[pgepubid00005]/44)","Enter Abram andBalthasar."
"epubcfi(/6/10!/4/2[pgepubid00005]/46)","SAMPSON.My naked weapon is out: quarrel, I will back thee."
"epubcfi(/6/10!/4/2[pgepubid00005]/48)","GREGORY.How? Turn thy back and run?"
"epubcfi(/6/10!/4/2[pgepubid00005]/50)","SAMPSON.Fear me not."
"epubcfi(/6/10!/4/2[pgepubid00005]/52)","GREGORY.No, marry; I fear thee!"
"epubcfi(/6/10!/4/2[pgepubid00005]/54)","SAMPSON.Let us take the law of our sides; let them begin."
"epubcfi(/6/10!/4/2[pgepubid00005]/56)","GREGORY.I will frown as I pass by, and let them take it as theylist."
"epubcfi(/6/10!/4/2[pgepubid00005]/58)","SAMPSON.Nay, as they dare. I will bite my thumb at them, which isdisgrace to them if they bear it."
"epubcfi(/6/10!/4/2[pgepubid00005]/60)","ABRAM.Do you bite your thumb at us, sir?"
"epubcfi(/6/10!/4/2[pgepubid00005]/62)","SAMPSON.I do bite my thumb, sir."
"epubcfi(/6/10!/4/2[pgepubid00005]/64)","ABRAM.Do you bite your thumb at us, sir?"
"epubcfi(/6/10!/4/2[pgepubid00005]/66)","SAMPSON.Is the law of our side if I say ay?"
"epubcfi(/6/10!/4/2[pgepubid00005]/68)","GREGORY.No."
"epubcfi(/6/10!/4/2[pgepubid00005]/70)","SAMPSON.No sir, I do not bite my thumb at you, sir; but I bite mythumb, sir."
"epubcfi(/6/10!/4/2[pgepubid00005]/72)","GREGORY.Do you quarrel, sir?"
"epubcfi(/6/10!/4/2[pgepubid00005]/74)","ABRAM.Quarrel, sir? No, sir."
"epubcfi(/6/10!/4/2[pgepubid00005]/76)","SAMPSON.But if you do, sir, I am for you. I serve as good a man asyou."
"epubcfi(/6/10!/4/2[pgepubid00005]/78)","ABRAM.No better."
"epubcfi(/6/10!/4/2[pgepubid00005]/80)","SAMPSON.Well, sir."
"epubcfi(/6/10!/4/2[pgepubid00005]/82)","Enter Benvolio."
"epubcfi(/6/10!/4/2[pgepubid00005]/84)","GREGORY.Say better; here comes one of my master’s kinsmen."
"epubcfi(/6/10!/4/2[pgepubid00005]/86)","SAMPSON.Yes, better, sir."
"epubcfi(/6/10!/4/2[pgepubid00005]/88)","ABRAM.You lie."
"epubcfi(/6/10!/4/2[pgepubid00005]/90)","SAMPSON.Draw, if you be men. Gregory, remember thy washing blow."
"epubcfi(/6/10!/4/2[pgepubid00005]/92)","[They fight.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/94)","BENVOLIO.Part, fools! put up your swords, you know not what you do."
"epubcfi(/6/10!/4/2[pgepubid00005]/96)","[Beats down their swords.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/98)","Enter Tybalt."
"epubcfi(/6/10!/4/2[pgepubid00005]/100)","TYBALT.What, art thou drawn among these heartless hinds?Turn thee Benvolio, look upon thy death."
"epubcfi(/6/10!/4/2[pgepubid00005]/102)","BENVOLIO.I do but keep the peace, put up thy sword,Or manage it to part these men with me."
"epubcfi(/6/10!/4/2[pgepubid00005]/104)","TYBALT.What, drawn, and talk of peace? I hate the wordAs I hate hell, all Montagues, and thee:Have at thee, coward."
"epubcfi(/6/10!/4/2[pgepubid00005]/106)","[They fight.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/108)","Enter three or four Citizenswith clubs."
"epubcfi(/6/10!/4/2[pgepubid00005]/110)","FIRST CITIZEN.Clubs, bills and partisans! Strike! Beat them down!Down with the Capulets! Down with the Montagues!"
"epubcfi(/6/10!/4/2[pgepubid00005]/112)","Enter Capulet in his gown,and Lady Capulet."
"epubcfi(/6/10!/4/2[pgepubid00005]/114)","CAPULET.What noise is this? Give me my long sword, ho!"
"epubcfi(/6/10!/4/2[pgepubid00005]/116)","LADY CAPULET.A crutch, a crutch! Why call you for a sword?"
"epubcfi(/6/10!/4/2[pgepubid00005]/118)","CAPULET.My sword, I say! Old Montague is come,And flourishes his blade in spite of me."
"epubcfi(/6/10!/4/2[pgepubid00005]/120)","Enter Montague and hisLady Montague."
"epubcfi(/6/10!/4/2[pgepubid00005]/122)","MONTAGUE.Thou villain Capulet! Hold me not, let me go."
"epubcfi(/6/10!/4/2[pgepubid00005]/124)","LADY MONTAGUE.Thou shalt not stir one foot to seek a foe."
"epubcfi(/6/10!/4/2[pgepubid00005]/126)","Enter Prince Escalus, withAttendants."
"epubcfi(/6/10!/4/2[pgepubid00005]/128)","PRINCE.Rebellious subjects, enemies to peace,Profaners of this neighbour-stained steel,—Will they not hear? What, ho! You men, you beasts,That quench the fire of your pernicious rageWith purple fountains issuing from your veins,On pain of torture, from those bloody handsThrow your mistemper’d weapons to the groundAnd hear the sentence of your moved prince.Three civil brawls, bred of an airy word,By thee, old Capulet, and Montague,Have thrice disturb’d the quiet of our streets,And made Verona’s ancient citizensCast by their grave beseeming ornaments,To wield old partisans, in hands as old,Canker’d with peace, to part your canker’d hate.If ever you disturb our streets again,Your lives shall pay the forfeit of the peace.For this time all the rest depart away:You, Capulet, shall go along with me,And Montague, come you this afternoon,To know our farther pleasure in this case,To old Free-town, our common judgement-place.Once more, on pain of death, all men depart."
"epubcfi(/6/10!/4/2[pgepubid00005]/130)","[Exeunt Prince andAttendants; Capulet, Lady Capulet, Tybalt,Citizens and Servants.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/132)","MONTAGUE.Who set this ancient quarrel new abroach?Speak, nephew, were you by when it began?"
"epubcfi(/6/10!/4/2[pgepubid00005]/134)","BENVOLIO.Here were the servants of your adversaryAnd yours, close fighting ere I did approach.I drew to part them, in the instant cameThe fiery Tybalt, with his sword prepar’d,Which, as he breath’d defiance to my ears,He swung about his head, and cut the winds,Who nothing hurt withal, hiss’d him in scorn.While we were interchanging thrusts and blowsCame more and more, and fought on part and part,Till the Prince came, who parted either part."
"epubcfi(/6/10!/4/2[pgepubid00005]/136)","LADY MONTAGUE.O where is Romeo, saw you him today?Right glad I am he was not at this fray."
"epubcfi(/6/10!/4/2[pgepubid00005]/138)","BENVOLIO.Madam, an hour before the worshipp’d sunPeer’d forth the golden window of the east,A troubled mind drave me to walk abroad,Where underneath the grove of sycamoreThat westward rooteth from this city side,So early walking did I see your son.Towards him I made, but he was ware of me,And stole into the covert of the wood.I, measuring his affections by my own,Which then most sought where most might not be found,Being one too many by my weary self,Pursu’d my humour, not pursuing his,And gladly shunn’d who gladly fled from me."
"epubcfi(/6/10!/4/2[pgepubid00005]/140)","MONTAGUE.Many a morning hath he there been seen,With tears augmenting the fresh morning’s dew,Adding to clouds more clouds with his deep sighs;But all so soon as the all-cheering sunShould in the farthest east begin to drawThe shady curtains from Aurora’s bed,Away from light steals home my heavy son,And private in his chamber pens himself,Shuts up his windows, locks fair daylight outAnd makes himself an artificial night.Black and portentous must this humour prove,Unless good counsel may the cause remove."
"epubcfi(/6/10!/4/2[pgepubid00005]/142)","BENVOLIO.My noble uncle, do you know the cause?"
"epubcfi(/6/10!/4/2[pgepubid00005]/144)","MONTAGUE.I neither know it nor can learn of him."
"epubcfi(/6/10!/4/2[pgepubid00005]/146)","BENVOLIO.Have you importun’d him by any means?"
"epubcfi(/6/10!/4/2[pgepubid00005]/148)","MONTAGUE.Both by myself and many other friends;But he, his own affections’ counsellor,Is to himself—I will not say how true—But to himself so secret and so close,So far from sounding and discovery,As is the bud bit with an envious wormEre he can spread his sweet leaves to the air,Or dedicate his beauty to the sun.Could we but learn from whence his sorrows grow,We would as willingly give cure as know."
"epubcfi(/6/10!/4/2[pgepubid00005]/150)","Enter Romeo."
"epubcfi(/6/10!/4/2[pgepubid00005]/152)","BENVOLIO.See, where he comes. So please you step aside;I’ll know his grievance or be much denied."
"epubcfi(/6/10!/4/2[pgepubid00005]/154)","MONTAGUE.I would thou wert so happy by thy stayTo hear true shrift. Come, madam, let’s away,"
"epubcfi(/6/10!/4/2[pgepubid00005]/156)","[Exeunt Montague andLady Montague.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/158)","BENVOLIO.Good morrow, cousin."
"epubcfi(/6/10!/4/2[pgepubid00005]/160)","ROMEO.Is the day so young?"
"epubcfi(/6/10!/4/2[pgepubid00005]/162)","BENVOLIO.But new struck nine."
"epubcfi(/6/10!/4/2[pgepubid00005]/164)","ROMEO.Ay me, sad hours seem long.Was that my father that went hence so fast?"
"epubcfi(/6/10!/4/2[pgepubid00005]/166)","BENVOLIO.It was. What sadness lengthens Romeo’s hours?"
"epubcfi(/6/10!/4/2[pgepubid00005]/168)","ROMEO.Not having that which, having, makes them short."
"epubcfi(/6/10!/4/2[pgepubid00005]/170)","BENVOLIO.In love?"
"epubcfi(/6/10!/4/2[pgepubid00005]/172)","ROMEO.Out."
"epubcfi(/6/10!/4/2[pgepubid00005]/174)","BENVOLIO.Of love?"
"epubcfi(/6/10!/4/2[pgepubid00005]/176)","ROMEO.Out of her favour where I am in love."
"epubcfi(/6/10!/4/2[pgepubid00005]/178)","BENVOLIO.Alas that love so gentle in his view,Should be so tyrannous and rough in proof."
"epubcfi(/6/10!/4/2[pgepubid00005]/180)","ROMEO.Alas that love, whose view is muffled still,Should, without eyes, see pathways to his will!Where shall we dine? O me! What fray was here?Yet tell me not, for I have heard it all.Here’s much to do with hate, but more with love:Why, then, O brawling love! O loving hate!O anything, of nothing first create!O heavy lightness! serious vanity!Misshapen chaos of well-seeming forms!Feather of lead, bright smoke, cold fire, sick health!Still-waking sleep, that is not what it is!This love feel I, that feel no love in this.Dost thou not laugh?"
"epubcfi(/6/10!/4/2[pgepubid00005]/182)","BENVOLIO.No coz, I rather weep."
"epubcfi(/6/10!/4/2[pgepubid00005]/184)","ROMEO.Good heart, at what?"
"epubcfi(/6/10!/4/2[pgepubid00005]/186)","BENVOLIO.At thy good heart’s oppression."
"epubcfi(/6/10!/4/2[pgepubid00005]/188)","ROMEO.Why such is love’s transgression.Griefs of mine own lie heavy in my breast,Which thou wilt propagate to have it prestWith more of thine. This love that thou hast shownDoth add more grief to too much of mine own.Love is a smoke made with the fume of sighs;Being purg’d, a fire sparkling in lovers’ eyes;Being vex’d, a sea nourish’d with lovers’ tears:What is it else? A madness most discreet,A choking gall, and a preserving sweet.Farewell, my coz."
"epubcfi(/6/10!/4/2[pgepubid00005]/190)","[Going.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/192)","BENVOLIO.Soft! I will go along:And if you leave me so, you do me wrong."
"epubcfi(/6/10!/4/2[pgepubid00005]/194)","ROMEO.Tut! I have lost myself; I am not here.This is not Romeo, he’s some other where."
"epubcfi(/6/10!/4/2[pgepubid00005]/196)","BENVOLIO.Tell me in sadness who is that you love?"
"epubcfi(/6/10!/4/2[pgepubid00005]/198)","ROMEO.What, shall I groan and tell thee?"
"epubcfi(/6/10!/4/2[pgepubid00005]/200)","BENVOLIO.Groan! Why, no; but sadly tell me who."
"epubcfi(/6/10!/4/2[pgepubid00005]/202)","ROMEO.Bid a sick man in sadness make his will,A word ill urg’d to one that is so ill.In sadness, cousin, I do love a woman."
"epubcfi(/6/10!/4/2[pgepubid00005]/204)","BENVOLIO.I aim’d so near when I suppos’d you lov’d."
"epubcfi(/6/10!/4/2[pgepubid00005]/206)","ROMEO.A right good markman, and she’s fair I love."
"epubcfi(/6/10!/4/2[pgepubid00005]/208)","BENVOLIO.A right fair mark, fair coz, is soonest hit."
"epubcfi(/6/10!/4/2[pgepubid00005]/210)","ROMEO.Well, in that hit you miss: she’ll not be hitWith Cupid’s arrow, she hath Dian’s wit;And in strong proof of chastity well arm’d,From love’s weak childish bow she lives uncharm’d.She will not stay the siege of loving termsNor bide th’encounter of assailing eyes,Nor ope her lap to saint-seducing gold:O she’s rich in beauty, only poorThat when she dies, with beauty dies her store."
"epubcfi(/6/10!/4/2[pgepubid00005]/212)","BENVOLIO.Then she hath sworn that she will still live chaste?"
"epubcfi(/6/10!/4/2[pgepubid00005]/214)","ROMEO.She hath, and in that sparing makes huge waste;For beauty starv’d with her severity,Cuts beauty off from all posterity.She is too fair, too wise; wisely too fair,To merit bliss by making me despair.She hath forsworn to love, and in that vowDo I live dead, that live to tell it now."
"epubcfi(/6/10!/4/2[pgepubid00005]/216)","BENVOLIO.Be rul’d by me, forget to think of her."
"epubcfi(/6/10!/4/2[pgepubid00005]/218)","ROMEO.O teach me how I should forget to think."
"epubcfi(/6/10!/4/2[pgepubid00005]/220)","BENVOLIO.By giving liberty unto thine eyes;Examine other beauties."
"epubcfi(/6/10!/4/2[pgepubid00005]/222)","ROMEO.’Tis the wayTo call hers, exquisite, in question more.These happy masks that kiss fair ladies’ brows,Being black, puts us in mind they hide the fair;He that is strucken blind cannot forgetThe precious treasure of his eyesight lost.Show me a mistress that is passing fair,What doth her beauty serve but as a noteWhere I may read who pass’d that passing fair?Farewell, thou canst not teach me to forget."
"epubcfi(/6/10!/4/2[pgepubid00005]/224)","BENVOLIO.I’ll pay that doctrine, or else die in debt."
"epubcfi(/6/10!/4/2[pgepubid00005]/226)","[Exeunt.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/230)","Enter Capulet, Paris andServant."
"epubcfi(/6/10!/4/2[pgepubid00005]/232)","CAPULET.But Montague is bound as well as I,In penalty alike; and ’tis not hard, I think,For men so old as we to keep the peace."
"epubcfi(/6/10!/4/2[pgepubid00005]/234)","PARIS.Of honourable reckoning are you both,And pity ’tis you liv’d at odds so long.But now my lord, what say you to my suit?"
"epubcfi(/6/10!/4/2[pgepubid00005]/236)","CAPULET.But saying o’er what I have said before.My child is yet a stranger in the world,She hath not seen the change of fourteen years;Let two more summers wither in their prideEre we may think her ripe to be a bride."
"epubcfi(/6/10!/4/2[pgepubid00005]/238)","PARIS.Younger than she are happy mothers made."
"epubcfi(/6/10!/4/2[pgepubid00005]/240)","CAPULET.And too soon marr’d are those so early made.The earth hath swallowed all my hopes but she,She is the hopeful lady of my earth:But woo her, gentle Paris, get her heart,My will to her consent is but a part;And she agree, within her scope of choiceLies my consent and fair according voice.This night I hold an old accustom’d feast,Whereto I have invited many a guest,Such as I love, and you among the store,One more, most welcome, makes my number more.At my poor house look to behold this nightEarth-treading stars that make dark heaven light:Such comfort as do lusty young men feelWhen well apparell’d April on the heelOf limping winter treads, even such delightAmong fresh female buds shall you this nightInherit at my house. Hear all, all see,And like her most whose merit most shall be:Which, on more view of many, mine, being one,May stand in number, though in reckoning none.Come, go with me. Go, sirrah, trudge aboutThrough fair Verona; find those persons outWhose names are written there, [gives a paper] and to them say,My house and welcome on their pleasure stay."
"epubcfi(/6/10!/4/2[pgepubid00005]/242)","[Exeunt Capulet andParis.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/244)","SERVANT.Find them out whose names are written here!It is written that the shoemaker should meddle withhis yard and the tailor with his last, the fisher withhis pencil, and the painter with his nets; but I amsent to find those persons whose names are here writ,and can never find what names the writing personhath here writ. I must to the learned. In good time!"
"epubcfi(/6/10!/4/2[pgepubid00005]/246)","Enter Benvolio andRomeo."
"epubcfi(/6/10!/4/2[pgepubid00005]/248)","BENVOLIO.Tut, man, one fire burns out another’s burning,One pain is lessen’d by another’s anguish;Turn giddy, and be holp by backward turning;One desperate grief cures with another’s languish:Take thou some new infection to thy eye,And the rank poison of the old will die."
"epubcfi(/6/10!/4/2[pgepubid00005]/250)","ROMEO.Your plantain leaf is excellent for that."
"epubcfi(/6/10!/4/2[pgepubid00005]/252)","BENVOLIO.For what, I pray thee?"
"epubcfi(/6/10!/4/2[pgepubid00005]/254)","ROMEO.For your broken shin."
"epubcfi(/6/10!/4/2[pgepubid00005]/256)","BENVOLIO.Why, Romeo, art thou mad?"
"epubcfi(/6/10!/4/2[pgepubid00005]/258)","ROMEO.Not mad, but bound more than a madman is:Shut up in prison, kept without my food,Whipp’d and tormented and—God-den, good fellow."
"epubcfi(/6/10!/4/2[pgepubid00005]/260)","SERVANT.God gi’ go-den. I pray, sir, can you read?"
"epubcfi(/6/10!/4/2[pgepubid00005]/262)","ROMEO.Ay, mine own fortune in my misery."
"epubcfi(/6/10!/4/2[pgepubid00005]/264)","SERVANT.Perhaps you have learned it without book.But I pray, can you read anything you see?"
"epubcfi(/6/10!/4/2[pgepubid00005]/266)","ROMEO.Ay, If I know the letters and the language."
"epubcfi(/6/10!/4/2[pgepubid00005]/268)","SERVANT.Ye say honestly, rest you merry!"
"epubcfi(/6/10!/4/2[pgepubid00005]/270)","ROMEO.Stay, fellow; I can read."
"epubcfi(/6/10!/4/2[pgepubid00005]/272)","[He reads the letter.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/274)","Signior Martino and his wife and daughters;County Anselmo and his beauteous sisters;The lady widow of Utruvio;Signior Placentio and his lovely nieces;Mercutio and his brother Valentine;Mine uncle Capulet, his wife, and daughters;My fair niece Rosaline and Livia;Signior Valentio and his cousin Tybalt;Lucio and the lively Helena."
"epubcfi(/6/10!/4/2[pgepubid00005]/276)","A fair assembly. [Gives back the paper] Whither should theycome?"
"epubcfi(/6/10!/4/2[pgepubid00005]/278)","SERVANT.Up."
"epubcfi(/6/10!/4/2[pgepubid00005]/280)","ROMEO.Whither to supper?"
"epubcfi(/6/10!/4/2[pgepubid00005]/282)","SERVANT.To our house."
"epubcfi(/6/10!/4/2[pgepubid00005]/284)","ROMEO.Whose house?"
"epubcfi(/6/10!/4/2[pgepubid00005]/286)","SERVANT.My master’s."
"epubcfi(/6/10!/4/2[pgepubid00005]/288)","ROMEO.Indeed I should have ask’d you that before."
"epubcfi(/6/10!/4/2[pgepubid00005]/290)","SERVANT.Now I’ll tell you without asking. My master is the great rich Capulet,and if you be not of the house of Montagues, I pray come and crush a cup ofwine. Rest you merry."
"epubcfi(/6/10!/4/2[pgepubid00005]/292)","[Exit.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/294)","BENVOLIO.At this same ancient feast of Capulet’sSups the fair Rosaline whom thou so lov’st;With all the admired beauties of Verona.Go thither and with unattainted eye,Compare her face with some that I shall show,And I will make thee think thy swan a crow."
"epubcfi(/6/10!/4/2[pgepubid00005]/296)","ROMEO.When the devout religion of mine eyeMaintains such falsehood, then turn tears to fire;And these who, often drown’d, could never die,Transparent heretics, be burnt for liars.One fairer than my love? The all-seeing sunNe’er saw her match since first the world begun."
"epubcfi(/6/10!/4/2[pgepubid00005]/298)","BENVOLIO.Tut, you saw her fair, none else being by,Herself pois’d with herself in either eye:But in that crystal scales let there be weigh’dYour lady’s love against some other maidThat I will show you shining at this feast,And she shall scant show well that now shows best."
"epubcfi(/6/10!/4/2[pgepubid00005]/300)","ROMEO.I’ll go along, no such sight to be shown,But to rejoice in splendour of my own."
"epubcfi(/6/10!/4/2[pgepubid00005]/302)","[Exeunt.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/306)","Enter Lady Capulet andNurse."
"epubcfi(/6/10!/4/2[pgepubid00005]/308)","LADY CAPULET.Nurse, where’s my daughter? Call her forth to me."
"epubcfi(/6/10!/4/2[pgepubid00005]/310)","NURSE.Now, by my maidenhead, at twelve year old,I bade her come. What, lamb! What ladybird!God forbid! Where’s this girl? What, Juliet!"
"epubcfi(/6/10!/4/2[pgepubid00005]/312)","Enter Juliet."
"epubcfi(/6/10!/4/2[pgepubid00005]/314)","JULIET.How now, who calls?"
"epubcfi(/6/10!/4/2[pgepubid00005]/316)","NURSE.Your mother."
"epubcfi(/6/10!/4/2[pgepubid00005]/318)","JULIET.Madam, I am here. What is your will?"
"epubcfi(/6/10!/4/2[pgepubid00005]/320)","LADY CAPULET.This is the matter. Nurse, give leave awhile,We must talk in secret. Nurse, come back again,I have remember’d me, thou’s hear our counsel.Thou knowest my daughter’s of a pretty age."
"epubcfi(/6/10!/4/2[pgepubid00005]/322)","NURSE.Faith, I can tell her age unto an hour."
"epubcfi(/6/10!/4/2[pgepubid00005]/324)","LADY CAPULET.She’s not fourteen."
"epubcfi(/6/10!/4/2[pgepubid00005]/326)","NURSE.I’ll lay fourteen of my teeth,And yet, to my teen be it spoken, I have but four,She is not fourteen. How long is it nowTo Lammas-tide?"
"epubcfi(/6/10!/4/2[pgepubid00005]/328)","LADY CAPULET.A fortnight and odd days."
"epubcfi(/6/10!/4/2[pgepubid00005]/330)","NURSE.Even or odd, of all days in the year,Come Lammas Eve at night shall she be fourteen.Susan and she,—God rest all Christian souls!—Were of an age. Well, Susan is with God;She was too good for me. But as I said,On Lammas Eve at night shall she be fourteen;That shall she, marry; I remember it well.’Tis since the earthquake now eleven years;And she was wean’d,—I never shall forget it—,Of all the days of the year, upon that day:For I had then laid wormwood to my dug,Sitting in the sun under the dovehouse wall;My lord and you were then at Mantua:Nay, I do bear a brain. But as I said,When it did taste the wormwood on the nippleOf my dug and felt it bitter, pretty fool,To see it tetchy, and fall out with the dug!Shake, quoth the dovehouse: ’twas no need, I trow,To bid me trudge.And since that time it is eleven years;For then she could stand alone; nay, by th’roodShe could have run and waddled all about;For even the day before she broke her brow,And then my husband,—God be with his soul!A was a merry man,—took up the child:‘Yea,’ quoth he, ‘dost thou fall upon thy face?Thou wilt fall backward when thou hast more wit;Wilt thou not, Jule?’ and, by my holidame,The pretty wretch left crying, and said ‘Ay’.To see now how a jest shall come about.I warrant, and I should live a thousand years,I never should forget it. ‘Wilt thou not, Jule?’ quoth he;And, pretty fool, it stinted, and said ‘Ay.’"
"epubcfi(/6/10!/4/2[pgepubid00005]/332)","LADY CAPULET.Enough of this; I pray thee hold thy peace."
"epubcfi(/6/10!/4/2[pgepubid00005]/334)","NURSE.Yes, madam, yet I cannot choose but laugh,To think it should leave crying, and say ‘Ay’;And yet I warrant it had upon it browA bump as big as a young cockerel’s stone;A perilous knock, and it cried bitterly.‘Yea,’ quoth my husband, ‘fall’st upon thy face?Thou wilt fall backward when thou comest to age;Wilt thou not, Jule?’ it stinted, and said ‘Ay’."
"epubcfi(/6/10!/4/2[pgepubid00005]/336)","JULIET.And stint thou too, I pray thee, Nurse, say I."
"epubcfi(/6/10!/4/2[pgepubid00005]/338)","NURSE.Peace, I have done. God mark thee to his graceThou wast the prettiest babe that e’er I nurs’d:And I might live to see thee married once, I have my wish."
"epubcfi(/6/10!/4/2[pgepubid00005]/340)","LADY CAPULET.Marry, that marry is the very themeI came to talk of. Tell me, daughter Juliet,How stands your disposition to be married?"
"epubcfi(/6/10!/4/2[pgepubid00005]/342)","JULIET.It is an honour that I dream not of."
"epubcfi(/6/10!/4/2[pgepubid00005]/344)","NURSE.An honour! Were not I thine only nurse,I would say thou hadst suck’d wisdom from thy teat."
"epubcfi(/6/10!/4/2[pgepubid00005]/346)","LADY CAPULET.Well, think of marriage now: younger than you,Here in Verona, ladies of esteem,Are made already mothers. By my countI was your mother much upon these yearsThat you are now a maid. Thus, then, in brief;The valiant Paris seeks you for his love."
"epubcfi(/6/10!/4/2[pgepubid00005]/348)","NURSE.A man, young lady! Lady, such a manAs all the world—why he’s a man of wax."
"epubcfi(/6/10!/4/2[pgepubid00005]/350)","LADY CAPULET.Verona’s summer hath not such a flower."
"epubcfi(/6/10!/4/2[pgepubid00005]/352)","NURSE.Nay, he’s a flower, in faith a very flower."
